Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Sinaloa,Culiacán,Ultrapasteurizada,Autoservicios,5,8,2025,1,32.32,32.32,32.290929755689945
Sinaloa,Culiacán,Ultrapasteurizada,Tiendas,5,8,2025,1,36.67,36.67000000000001,36.70599819204131
Sonora,Cd. Obregón,Pasteurizada,Autoservicios,5,8,2025,1,28.83,28.722857142857134,28.809139518352804
Sonora,Cd. Obregón,Pasteurizada,Tiendas,5,8,2025,1,29.0,29.0,29.007181852429756
Sonora,Cd. Obregón,Ultrapasteurizada,Autoservicios,5,8,2025,1,30.54,30.499999999999996,30.52957696135515
Sonora,Cd. Obregón,Ultrapasteurizada,Tiendas,5,8,2025,1,32.7,32.699999999999996,32.71866637765625
Sonora,Hermosillo,Pasteurizada,Autoservicios,5,8,2025,1,26.88,26.88,26.87010498066613
Sonora,Hermosillo,Pasteurizada,Tiendas,5,8,2025,1,28.48,28.479999999999997,28.482797757725336
Sonora,Hermosillo,Ultrapasteurizada,Autoservicios,5,8,2025,1,24.57,24.569999999999997,24.599507671285988
Sonora,Hermosillo,Ultrapasteurizada,Tiendas,5,8,2025,1,24.54,24.57571428571428,24.60148521486382
Sonora,Nogales,Ultrapasteurizada,Autoservicios,5,8,2025,1,30.23,30.229999999999997,30.213610422858522
Sonora,Nogales,Ultrapasteurizada,Tiendas,5,8,2025,1,29.95,29.949999999999996,29.94347924309104
Sonora,San Luis Río Colorado,Pasteurizada,Autoservicios,5,8,2025,1,0.0,0.0,0.0
Sonora,San Luis Río Colorado,Pasteurizada,Tiendas,5,8,2025,1,0.0,0.0,0.0
Sonora,San Luis Río Colorado,Ultrapasteurizada,Autoservicios,5,8,2025,1,0.0,0.0,0.0
Sonora,San Luis Río Colorado,Ultrapasteurizada,Tiendas,5,8,2025,1,0.0,0.0,0.0
Tabasco,Villahermosa,Ultrapasteurizada,Autoservicios,5,8,2025,1,29.13,29.13,29.118681194932126
Tabasco,Villahermosa,Ultrapasteurizada,Tiendas,5,8,2025,1,26.55,26.944285714285716,26.805050793633285
Tamaulipas,Cd. Victoria,Pasteurizada,Autoservicios,5,8,2025,1,27.76,27.645714285714284,27.69971344245075
Tamaulipas,Cd. Victoria,Pasteurizada,Tiendas,5,8,2025,1,29.67,29.67000000000001,29.660515781225268
Tamaulipas,Cd. Victoria,Ultrapasteurizada,Autoservicios,5,8,2025,1,33.75,33.64142857142857,33.77936804749725
Tamaulipas,Cd. Victoria,Ultrapasteurizada,Tiendas,5,8,2025,1,32.67,32.67000000000001,32.67586238800445
Tamaulipas,Matamoros,Pasteurizada,Autoservicios,5,8,2025,1,29.32,29.33142857142857,29.324227716317314
